,project_id,project_description,public_interest
10,49,"Navrhuji vyznačení rychlého pruhu uprostřed podchodu v obou směrech ve kterém by se dalo jít rychleji a nemuset kličkovat mezi pomalejšími chodci, kteří kolikrát jdou vedle sebe i po třech a když člověk pospíchá na autobus či vlak, tak ztrácí drahocenné minuty. Někdy tvoří hradbu, která se nedá obejít bez nutnosti vejít do protisměru. Proto si myslím, že vyznačení rychlých pruhů v obou směrech uprostřed pomůže mnohým z nás při své cestě městem.",Projekt usnadní a urychlí každodenní cestu za prací či školou mnohým z nás. A mnohým z nás také ušetří nervy...
11,63,"1,5 ha neprostupných křovisek plných odpadků uprostřed sídliště v Brně-Líšni chceme přeměnit na jedlý park, kde porostou ovocné stromy, keře a bylinky. Lavičky ve stínu ořešáků, dětské hřiště daleko od silnice, bosá stezka, jezírko, ohniště, záhonky a včelín.",Z nepřístupného pozemku se spoustou odpadků v blízkosti základní školy se stane zelená oáza aktivního odpočinku uprostřed sídliště v Brně-Líšni. Senioři s pejsky i maminky s dětmi budou moci aktivně odpočívat uprostřed zeleně namísto rozpálených asfaltových a betonových ploch mezi paneláky.
12,66,"Jakožto majitelka chrta bych velmi ocenila bezpečné místo pro volný pohyb psa. V Brně existují výběhy pro psy, ty jsou však bohužel svojí velikostí nedostačující pro rychlé a běhavé pejsky. Líbila by se mi myšlenka oploceného lesa, s několika kilometrovou trasou stezek, kde by se dal pes bezpečně vypustit. Mělo by se jednat o místo, které by bylo bez divoké zvěře. 

Přípustná by byla taktéž velká louka nebo pole.","Místo k odpočinku a zábavě pro rodiny s pejsky.
Vycházka se psem bez stresu ze zranění způsobené útěkem a lovem zvěře."
13,68,"Konečná zastávka tramvaje v Obřanech - výchozí místo pro výlety do přírody. Krásná cyklostezka do Bílovic i pro vozíčkáře. Ale ti se sem pomocí MHD nedostanou. Jen proto, že zde nemohou vystoupit z tramvaje. Pomohlo by vybudování zvýšeného chodníku v místě výstupu podobně jako je to v místě nastupování do tramvaje tak, aby bylo možné vysunutí plošiny pro vozík. To je smysl tohoto projektu. Bezbariérový výstup z tramvaje by sloužil všem vozíčkářům a jejich rodinám by usnadnil přístup do krásné brněnské přírody aniž by museli o víkendu startovat auto.  

Proč to navrhuji? Z vlastní zkušenosti vím, že bezbariérový výstup zde chybí.

A jen malá poznámka na závěr. Možná ještě existují v Brně další zastávky MHD, které by vybudováním bezbariérového nástupiště usnadnili vozíčkářům cestu do  přírody.","Zvýšený chodník poslouží všem vozíčkářům, kteří se tak mohou dopravit do přírody tramvají a nemusejí jezdit autem. Umožní jim, aby mohli na konečné v Brně v Obřanech vystoupit z tramvaje, Usnadní to používání krásné cyklostezky v přírodě i rodinám s vozíčkářem jakéhokoliv věku."
14,69,"Opěrný odpočinkový sloup se skládá z kovové konzole, zakončené navařenou kovovou patkou. Kovová konzole je upravená a odkloněná na 100° vzad. Opěrná část je navržená z lamina o rozměru 1 000 x 500 x 5. Lamino je přišroubované na úchyty sloupu. Opěrný odpočinkový sloup je možné umístit do stávajících zastávek MHD. Lze ho také umístit do zelených parků, před úřady města.","O tento opěrný sloup se může každý zájemce opřít zády. V krátkodobém uvolnění, které nastane, dojde k uvolnění páteře a částečnému uvolnění kloubů nohou. Zejména to ocení lidé, kteří mají sedavé zaměstnání a starší lidé."
15,78,"Černovice z ul. Turgeněvova jsou propojeny s Židenicemi  lávkou nad ul. Ostravskou do ul. Nezamyslova. Po levé straně ul. Nezamyslova ve směru do centra města není chodník. Když jde člověk z Černovic na zastávku \""Židenický hřbitov\"" (tram. č. 8) má na vybranou  možnosti:
 1. - projít po prošlapané nezpevněné stezce skrze parčík (parc. 386/1 a 386/3), v případě špatného počasí je tam bláto a kluzko, hrozí úraz. MČ Židenice situaci řeší cedulí, že se cesta v zimě neudržuje.
2. - na zastávku lze dojít podél plotu firmy SIKO v blízkosti tram. kolejí. To je zakázáno ale není chodci respektováno (kdo by se  plácal v blátě, když může jít po štěrku).
3. - na zastávku se lze dostat i po chodníku, je ale nutné dvakrát přejít ulici Nezamyslova - komplikace pro skupiny dětí, popř. méně mobilní seniory.

Navrhuji proto chodník v délce cca 100 metrů k zastávce v trase prošlapané stezky na parc. 386/1 a 386/3. Šířka 150 cm (možnost míjení kočárků), Pás vodicích dlaždic pro nevidomé vítán.",Projekt poslouží k zvýšení bezpečnosti a komfortu všem chodcům.
16,83,"Navrhuji rekonstrukci občany amatérsky zřízeného schodiště z Preslové k bytovkám na Neumannové ulici které  již mnoho let  používají občané jednak z bytovek a pak dále maminky s dětmi z celého okolí, kde touto zkratkou  vodí děti do školy na Hroznové. Schodiště z hlíny a rozpadlého betonu vždy někdo vyspraví dřevěnými laťkami zajištěnými železy které nebezpečně trčí i nad jednotlivé stupně.. Naprosto chybí madlo, stupnice neodpovídají stavebním normám. Současný stav jsem nafotografoval. Schdiště se nachází u cihlové zdi vily Stiassiny.","Odstranění hrubých závad na nynějším amatérsky a občany zřízeného schodiště a tím zvýšení bezpečnosti a snížení možnosti vážného úrazu pro občany používající toto schodiště jako
 zkratku při cestě k bytovkám na Neumannové ulici od stanice MHD. Dále zvýšení bezpečnosti pro děti ze širokého okolí které zkratku používají při cestě do školy na ulici Hroznové. Schodiště tak bezpečně propojí již hotový pěší průchod  mezi ulicemi Bohuslava Martinů a Preslovou s další ulicí a to Neumannovou (Projektované schodiště je téměř naproti ústí průchodu  Bohuslava Martinů – Preslova a navíc se dá projít  dalším průchodem až na ulici Barvičovu)."
17,87,"Projekt navrhuje vysázení lipové aleje do stávajícího lánu, kde by tvořila krajinný prvek, biopás, větrolam. Délka městské parcely je cca 300 m, šířka 17,5 m. Alej je velmi příjemným místem k procházkám, sportování a relaxaci pro obyvatele okolních domů, tlumí hluk, v létě poskytuje příjemný stín a v době květu nádherně do daleka voní. Alej je také možno osadit prolézačkami pro děti či lavičkami pro posezení pod lípami. Při vjezdu do Brna to bude v poli i dobře patrný, velice zajímavý krajinný prvek. Význam aleje je ale nejen estetický a relaxační, funguje také jako ekosystémový prvek, zajišťující hnízdiště a migrační zóny hmyzu a drobné zvěře, v neposlední řadě funguje jako větrolam. Zvyšuje zároveň průchodnost krajiny, tvoří navazující trasu k procházkám k přilehlému lesu.","Tento projekt krajinného prvku bude sloužit :
A)  Rodičům s dětmi, seniorům a všem občanům k procházkám, relaxaci a odpočinku uprostřed přírody. V době květu lípy nádherně voní daleko široko.
B)  Všem, kdo bydlí v okolí, protože zelená alej sníží množství polétavého prachu, utlumí hluk, vsákne se do ní déšť a vytvoří příjemnou atmosféru po celý rok, zvláště v létě sníží úpal v aleji i nejbližším okolí, 

Pole by pro nás bylo bez přístupu, takto uprostřed pole a přírody můžeme v zeleni relaxovat."
18,91,"Dětské hřiště na ulici Štouračova v Brně Bystrci je vyhledávaným místem pro rodiče s dětmi. Jeho hlavní nevýhodou je absence stínu na herních prvcích, které jsou určeny pro nejmenší děti - pískoviště a houpadla. To má za následek, že hřiště je v parných slunných dnech většinou nevyužíváno.
Loni na Obilním trhu došlo k zastínění pískoviště z prodyšného materiálu. Na zimu se zastínění schovává a instaluje až na jaře. Tuto úpravu pískoviště ocenily především děti a jejich rodiče.  Podobné zastínění by bylo vhodné realizovat i na dětském hřišti na ulici Štouračova.  Esteticky by zapadlo do rázu krajiny a hlavně by za toto opatření byly rády děti, které by si  i v parných dnech mohly hrát na zastíněném hřišti. Mám dvě malé děti a byl bych rád, kdyby nejen ony, ale i jiné děti si mohly hrát bezpečně na písku bez strachu, že dostanou úpal. Pokud by se podařilo ještě zrealizovat výsadbu vhodných dřevin v areálu dětského hřiště, postupně by nahradily plachty.","Projekt je určen převážně pro děti a jako prevence před možnými zdravotními komplikacemi způsobenými delším pobytem na slunci. Tento prvek ocení především rodiče a prarodiče svých ratolestí, které si hrají na hřišti. Výsadba vhodných dřevin z dlouhodobého hlediska nahradí plachty."
19,107,"Chtěl bych, aby město pomohlo zlepšit kvalitu života lidem, žijícím podél tramvajové tratě.  

Navrhuji snížit maximální povolenou rychlost tramvají v brzkých ranních a pozdních nočních hodinách, a tím snížit hluk a vibrace v době, kdy si obyvatelé přilehlých domů chtějí užívat zaslouženého odpočinku.

První fází projektu by bylo měření hluku od projíždějících tramvají. Měření bych uskutečnil za provozu při součinnosti s DPMB, aby se daly naměřit hodnoty hluku projíždějící tramvaje při různých rychlostech. 

Pokud by se prokázalo, že snížení maximální rychlosti např. o 10 - 15 km/h by pomohlo významně redukovat hluk a vibrace od projíždějící tramvaje,","Zlepšení kvality života pro tisíce lidí, žijících v okolí tramvajové tratě, kteří jsou brzy ráno probouzení hlukem projíždějící tramvaje. Uskutečnit se může kdykoliv po domluvě zastupitelů městské části s DPMB."
20,108,"Hudba v Brně, hlavně co se týče mladých, či začínajících hudebníků nemá na měkké matraci ustláno..ze strany města, tu chybí jakákoli podpora a spoustu těchto lidí kvůli vlastní prezentaci, musí hrát nedůstojně na ulici, Přitom město má dost kapacit na to aby vytvořilo prostor v menších sálech, kde by se pravidelně střídali začínající kapely, nebo zpěváci a mohli se tak prezentovat před svým budoucím publikem.
Město by zajistilo propagaci(webové stránky)vývěsky a pod. a zajistilo by techniku a zázemí pro umělce.Lidé by se zdarma, nebo za symbolickou cenu mohli zůčastnit netradičního koncertu.","lidé, by se dostali, přímo k zajímavým, originálním hudebním projektům, které by se jen těžko prosazovali v těžké komerční sféře, ale jsou přitom kvalitní a zajímavé a mohli by je i podpořit.
Byl by to taky zajímavý zdroj kultury v Brně, kdyby konečně amatéři dostali šanci se prezentovat.Na webových stránkách by pak město mohlo časem spustit hodnocení kapel i jednotlivců a později by se mohlo i soutěžit v rámci měst s jinými muzikanty.
Dalším logickým krokem by pak bylo uplatnění těch nejzajímavějších hudebních uskupení na hudebních akcích města.
Kruh se tak uzavírá-lidé z Brna  by hráli pro Brno a s Brnem."
21,111,"Rád bych vytvořil velký počet kvízových otázek s variantami odpovědí a,b,c,d. Náhodně vybraná otázka by se promítla na obrazovce v MHD s krátkou pauzou k zamyšlení a následně by se promítla správná odpověď doplněná případně krátkým ilustračním obrázkem, či videem. Otázek by postupně mohlo vznikat nekonečné množství na základě dalších podnětů od cestujících. Čas v MHD by tak byl zajímavý pro děti i dospělé.","Zábavné vzdělávání v MHD je určeno všem cestujícím v prostředcích městské dopravy. Jedinou podmínkou je, že jde o vozidla, která jsou vybavena obrazovkami k přehrávání obsahu. Přínos vidím v tom, že i když budou otázky směřovány spíše na děti, vzdělávat se budou i dospělí, kteří spoustu věcí ze školních let již zapomněli. Navíc tak lze místo sledování reklam smysluplně strávit čas v MHD a při cestování s dětmi bude k dispozici i společná zábava."
22,113,"Cílem projektu je zvýšení atraktivity MHD v Brně tak, aby cestující, kteří již MHD jezdí, opět nezačali k cestování po Brně používat individuální dopravu. Navrhované opatření spočívá v poskytnutí účelově vázané dotace na výměnu nepohodlných tvrdých, kluzkých a studených plastových sedaček ve vozech DPMB, a.s. za polstrované s koženkovým potahem, který na rozdíl od látkového nemá vyšší náklady na čištění.","Zvýšení podílu MHD na úkor individuální dopravy přispívá mj. ke zlepšení životního prostředí, ke snížení spotřeby pohonných hmot a k eliminaci potřeby parkovacích míst v centru Brna."
23,115,V městské části Brno-Tuřany chybí lokalita vhodná pro vyžití se dětí a mládeže na skateboardech a freeridových koloběžkách.,"Děti v Tuřanech v současné době prakticky nemají prostory, kam by mohli jít po škole. Většina dříve veřejnosti přístupných ploch je v současné době oplocena a provozována soukromými subjekty. Děti tak nemají místo, kam by si zašly po škole hrát.

Dříve bylo možné jezdit na skateboardech po ulicích. Dopravní situace se v Tuřanech natolik zhoršila, že již není představitelné ulice k těmto aktivitám využívat. Není to ani bezpečné. Z toho důvodu navrhuji, aby v Tuřanech vzniklo skateboardové hřiště, kam by děti mohly chodit ve svém volném čase jezdit za bezpečnou zábavou.

Navrhnul jsem pro projekt pozemek, který je situován v klidné lokalitě, u sportoviště a stávající školy."
24,124,"Minulý rok jsem chtěla vytříděným oblečením a hračkami pomoci potřebným. Věděla jsem o všeobecně známých místech, která už třeba byla i přesycena. Tak jsem pátrala dál a zjistila, kolik dalších, méně známých pomáhajících organizací je, a že by třeba využili další věci, které lidem leží doma. Ale člověk chce pomoci a ne obvolávat desítky organizací, co která potřebuje a rozvážet po celém Brně. A tak mě napadlo, sdružit na jedněch webových stránkách potřeby jednotlivých organizací spolu s kontaktem, případně informací, kdy je možné věci přivézt. Pomůžu, když můžu by tedy měly být přehledné webové stránky, které by byly pravidelně aktualizovány dle jejich momentálních potřeb. Uživatelé by si mohli jednak zobrazit seznam dle organizací (pomoci přímo komu chtějí) nebo vyhledávání dle toho, co chtějí darovat a zobrazí se jim, kdo v Brně tyto věci ocení. Případnou nadstavbou by mohl být organizovaný sběr většího množství věcí.","Cílem projektu je, aby lidé, kteří chtějí pomoci ostatním, mohli rychle najít informace o tom, kam ji mohou směřovat. Pomáhající organizace by měly možnost prezentovat své stálé i aktuální potřeby. Pomoc by také mohla být lépe rozvrstvena mezi větší množství i méně známých organizací. Došlo by k efektivnějšímu propojení mezi potřebnými a těmi, kteří mají možnost pomoci. Předpokládanými uživateli jsou na jedné straně jednotlivci, kteří chtějí pomoci, na straně druhé dětské domovy, domovy pro matky s dětmi v nouzi, domovy pro seniory, hospicy, chráněné domovy pro oběti domácího násilí, organizace pro lidi bez domova apod."
25,140,"Björnsonův sad po obnově ožil a přitáhl spoustu lidí, kteří využívají nově instalované prvky - lavičky, bloky na sezení, posilovací hrazdy atp. V parku však chybí hudební prvky, které by rozvíjely muzikálost dětí i dospělých. Venkovní xylofony jsou u nás i ve světě populární a docela běžné, tak proč jich pár nemít i zde?",Rozvoj vztahu k hudbě u dětí i dospělých.
26,142,"Stačil by jeden větší komunitní kompost nebo dva menší v prostranství mezi lichou a sudou ulicí Ečerovou. V prostoru jsou vysoké stromy, trávník, keře a také místa pro popelnice. Jsou tu umístěny i popelnice pro tříděný odpad. Z toho vyplývá, že pokud už nesu odpadky a pokud už třídím, tak přeci mohu nést i odpad na kompost. Případně by na kompost mohla přijít i tráva ze sekání. Vzniklý kompost se může použít na cokoli, třeba jen na pohnojení keřů nebo trávy. Jen prostě ulevíme popelnicím. Na každém kompostu musí být znázorněno, co do kompostu patří. A pak už je to na každém, aby ty šlupky od brambor vyhodil místo do popelnice na kompost.","Ochrana přírody, využití odpadu, opakovatelnost - lze aplikovat i v jiných čtvrtích a ulicích, vzdělávání napříč generacemi."
27,146,"Urbanistická studie oblasti mezi ulicemi Podveská – Štursova – Rosického náměstí – Stránského a Kníničská. Studie bude bude klást důraz na uchování posledních zbytků zeleně a zahrádek. A také navrhne nové cesty, které spojí Žabovřesky s Komínem přes tramvajovou trať a ulici Sochorovou se Žabovřeskými loukami.","V posledních 10 letech probíhal v lokalitě na pomezí Žabovřesk a Komína bouřlivý stavební rozvoj. Na místě původní zeleně vyrostli vysoké bytové domy, původní cesty, které tudy vedli, byly zahrazeny. Studie bude řešit další rozvoj lokality tak, aby se proměnila v příjemné místo k životu."
