project_name,project_description,public_interest,status
jedlý park v Líšeň,"1,5 hektar prostupný křovisko plný odpadky uprostřed sídliště v Brno  Líšeň chtít přeměnit na jedlý park , kde porůst ovocný strom , keř a bylinka . Lavičky v stín ořešák , dětský hřiště daleko od silnice , bosý stezka , jezírko , ohniště , záhonek a včelín .",z přístupný pozemek s spousta odpadky v blízkost základní škola se stát zelený oáza aktivní odpočinek uprostřed sídliště v Brno  Líšeň . senior s pejsek i maminka s dítě být moci aktivně odpočívat uprostřed zeleň namísto rozpálený asfaltový a betonový plocha mezi panelák .,1
les pro pes,"jakožto majitelka chrt být velmi ocenit bezpečný místo pro volný pohyb pes . v Brno existovat výběh pro pes , ten být však bohužel svůj velikost dostačující pro rychlý a běhavý pejsek . líbit být se já myšlenka oplocený les , s několik kilometrový trasa stezka , kde být se dát pes bezpečně vypustit . mít být se jednat o místo , který být být bez divoký zvěř . přípustný být být taktéž velký louka nebo pole .",místo k odpočinek a zábava pro rodina s pejsek . vycházka s pes bez stres z zranění způsobený útěk a lov zvěř .,1
bezbariérově s MHD do příroda,"konečný zastávka tramvaj v Obřany  výchozí místo pro výlet do příroda . krásný cyklostezka do Bílovice i pro vozíčkář . ale ten se být pomoc MHD dostat . jen proto , že zde moci vystoupit z tramvaj . pomoci být vybudování zvýšený chodník v místo výstup podobně jako být ten v místo nastupování do tramvaj tak , aby být možný vysunutí plošina pro vozík . ten být smysl tento projekt . bezbariérový výstup z tramvaj být sloužit všechen vozíčkář a jeho rodina být usnadnit přístup do krásný brněnský příroda aniž být muset o víkend startovat auto . proč ten navrhovat ? z vlastní zkušenost vědět , že bezbariérový výstup zde chybět . a jen malý poznámka na závěr . možná ještě existovat v Brno další zastávka MHD , který být vybudování bezbariérový nástupiště usnadnit vozíčkář cesta do příroda .","zvýšený chodník posloužit všechen vozíčkář , který se tak moci dopravit do příroda tramvaj a muset jezdit auto . umožnit on , aby moci na konečná v Brno v Obřany vystoupit z tramvaj , usnadnit ten používání krásný cyklostezka v příroda i rodina s vozíčkář jakýkoliv věk .",1
opěrný odpočinkový sloup pro cestující hromadný městský doprava,"opěrný odpočinkový sloup se skládat z kovový konzole , zakončený navařený kovový patka . kovový konzole být upravený a odkloněný na 100 ° vzad . opěrný část být navržený z lamino o rozměr 1 000 x 500 x 5 . lamino být přišroubovaný na úchyt sloup . opěrný odpočinkový sloup být možný umístit do stávající zastávka MHD . lze on také umístit do zelený park , před úřad město .","o tento opěrný sloup se moci každý zájemce opřít záda . v krátkodobý uvolnění , který nastat , dojít k uvolnění páteř a částečný uvolnění kloub noha . zejména ten ocenit lidé , který mít sedavý zaměstnání a starý lidé .",1
dlážděný chodník skrz parčík k tramvajový zastávka židovský hřbitov,"Černovice z ulice . Turgeněvův být propojit s Židenice lávka nad ulice . ostravský do ulice . Nezamyslův . po levý strana ulice . Nezamyslův v směr do centrum město být chodník . když jít člověk z Černovice na zastávka \ "" židenický hřbitov \ "" ( tram . číslo . 8 ) mít na vybraný možnost : 1 .  projít po prošlapaný zpevněný stezka skrz parčík ( parcela . 386 / 1 a 386 / 3 ) , v případ špatný počasí být tam bláto a kluzko , hrozit úraz . MČ Židenice situace řešit cedule , že se cesta v zima udržovat . 2 .  na zastávka lze dojít podél plot firma Siko v blízkost tram . kolej . ten být zakázat ale být chodec respektovat ( kdo být se plácat v bláto , když moci jít po štěrk ) . 3 .  na zastávka se lze dostat i po chodník , být ale nutný dvakrát přejít ulice Nezamyslův  komplikace pro skupina dítě , popřípadě . méně mobilní senior . navrhovat proto chodník v délka cirka 100 metr k zastávka v trasa prošlapaný stezka na parcela . 386 / 1 a 386 / 3 . šířka 150 centimetr ( možnost míjení kočárek ) , pás vodicí dlaždice pro nevidomý vítat .",projekt posloužit k zvýšení bezpečnost a komfort všechen chodec .,1
schod z ulice Preslův k bytovka na ulice Neumannová,"navrhovat rekonstrukce občan amatérsky zřízený schodiště z Preslová k bytovka na Neumannová ulice který již mnoho léta používat občan jednak z bytovka a pak dále maminka s dítě z celý okolí , kde tento zkratka vodit dítě do škola na hroznový . schodiště z hlína a rozpadlý beton vždy někdo vyspravit dřevěný laťka zajištěný železa který bezpečně trčet i nad jednotlivý stupeň . . naprosto chybět madlo , stupnice odpovídat stavební norma . současný stav být nafotografovat . Schdiště se nacházet u cihlový zeď vila Stiassina .",odstranění hrubý závada na nynější amatérsky a občan zřízený schodiště a ten zvýšení bezpečnost a snížení možnost vážný úraz pro občan používající tento schodiště jako zkratka při cesta k bytovka na Neumannová ulice od stanice MHD . dále zvýšení bezpečnost pro dítě z široký okolí který zkratka používat při cesta do škola na ulice hroznový . schodiště tak bezpečně propojit již hotový pěší průchod mezi ulice Bohuslav Martinů a Preslová s další ulice a ten Neumannová ( projektovaný schodiště být téměř naproti ústí průchod Bohuslav Martin – Preslův a navíc se dát projít další průchod až na ulice Barvičův ) .,1
"i Brno moci vonět ! lipový alej pod Baba , Ivanovice","projekt navrhovat vysázení lipový alej do stávající lán , kde být tvořit krajinný prvek , biopás , větrolam . délka městský parcela být cirka 300 metr , šířka 17,5 metr . alej být velmi příjemný místo k procházka , sportování a relaxace pro obyvatel okolní dům , tlumit hluk , v léto poskytovat příjemný stín a v doba květ nádherně do daleko vonět . alej být také možný osadit prolézačka pro dítě či lavička pro posezení pod lípa . při vjezd do Brno ten být v pole i dobře patrný , velice zajímavý krajinný prvek . význam alej být ale nejen estetický a relaxační , fungovat také jako ekosystémový prvek , zajišťující hnízdiště a migrační zóna hmyz a drobný zvěř , v poslední řada fungovat jako větrolam . zvyšovat zároveň průchodnost krajina , tvořit navazující trasa k procházka k přilehlý les .","tento projekt krajinný prvek být sloužit : A ) rodič s dítě , senior a všechen občan k procházka , relaxace a odpočinek uprostřed příroda . v doba květ lípa nádherně vonět daleko široko . B ) všechen , kdo bydlet v okolí , protože zelený alej snížit množství polétavý prach , utlumit hluk , vsáknout se do on déšť a vytvořit příjemný atmosféra po celý rok , zvláště v léto snížit úpal v alej i blízký okolí , pole být pro my být bez přístup , takto uprostřed pole a příroda moci v zeleň relaxovat .",1
zastínění dětský hřiště na ulice Štouračův Brno Bystrc,"dětský hřiště na ulice Štouračův v Brno Bystrc být vyhledávaný místo pro rodič s dítě . jeho hlavní nevýhoda být absence stín na herní prvek , který být určit pro malý dítě  pískoviště a houpadlo . ten mít za následek , že hřiště být v parný slunný den většinou využívat . loni na obilní trh dojít k zastínění pískoviště z prodyšný materiál . na zima se zastínění schovávat a instalovat až na jaro . tento úprava pískoviště ocenit především dítě a jeho rodič . podobný zastínění být být vhodný realizovat i na dětský hřiště na ulice Štouračův . esteticky být zapadnout do ráz krajina a hlavně být za tento opatření být rád dítě , který být se i v parný den moci hrát na zastíněný hřiště . mít dva malý dítě a být být rád , kdyby nejen on , ale i jiný dítě se moci hrát bezpečně na písek bez strach , že dostat úpal . pokud být se podařit ještě zrealizovat výsadba vhodný dřevina v areál dětský hřiště , postupně být nahradit plachta .","projekt být určit převážně pro dítě a jako prevence před možný zdravotní komplikace způsobený dlouhý pobyt na slunce . tento prvek ocenit především rodič a prarodič svůj ratolest , který se hrát na hřiště . výsadba vhodný dřevina z dlouhodobý hledisko nahradit plachta .",1
omezení rychlost tramvaj v ranní a noční hodina,"chtít být , aby město pomoci zlepšit kvalita život lidé , žijící podél tramvajový trať . navrhovat snížit maximální povolený rychlost tramvaj v brzký ranní a pozdní noční hodina , a ten snížit hluk a vibrace v doba , kdy se obyvatel přilehlý dům chtít užívat zasloužený odpočinek . první fáze projekt být být měření hluk od projíždějící tramvaj . měření být uskutečnit za provoz při součinnost s DPMB , aby se dát naměřit hodnota hluk projíždějící tramvaj při různý rychlost . pokud být se prokázat , že snížení maximální rychlost například . o 10  15 kilometr / hodina být pomoci významně redukovat hluk a vibrace od projíždějící tramvaj ,","zlepšení kvalita život pro tisíc lidé , žijící v okolí tramvajový trať , který být brzy ráno probouzení hluk projíždějící tramvaj . uskutečnit se moci kdykoliv po domluva zastupitel městský část s DPMB .",0
hudba v Brno pro začínající umělec .,"hudba v Brno , hlavně co se týkat mladý , či začínající hudebník mít na měkký matrace ustlat . . z strana město , tu chybět jakýkoli podpora a spousta tento lidé kvůli vlastní prezentace , muset hrát důstojně na ulice , přitom město mít dost kapacita na ten aby vytvořit prostor v malý sál , kde být se pravidelně střídat začínající kapela , nebo zpěvák a moci se tak prezentovat před svůj budoucí publikum . město být zajistit propagace ( webový stránka ) vývěska a podobně . a zajistit být technika a zázemí pro umělec . lidé být se zdarma , nebo za symbolický cena moci zůčastnit tradiční koncert .","lidé , být se dostat , přímo k zajímavý , originální hudební projekt , který být se jen těžko prosazovat v těžký komerční sféra , ale být přitom kvalitní a zajímavý a moci být on i podpořit . být být ten taky zajímavý zdroj kultura v Brno , kdyby konečně amatér dostat šance se prezentovat.Na webový stránka být pak město moci čas spustit hodnocení kapela i jednotlivec a pozdě být se moci i soutěžit v rámec město s jiný muzikant . další logický krok být pak být uplatnění ten zajímavý hudební uskupení na hudební akce město . kruh se tak uzavírat  lidé z Brno být hrát pro Brno a s Brno .",0
hravý vzdělávání v MHD,"rád být vytvořit velký počet kvízový otázka s varianta odpověď a , b , c , d . náhodně vybraný otázka být se promítnout na obrazovka v MHD s krátký pauza k zamyšlení a následně být se promítnout správný odpověď doplněný případně krátký ilustrační obrázek , či video . otázka být postupně moci vznikat konečný množství na základ další podnět od cestující . čas v MHD být tak být zajímavý pro dítě i dospělý .","zábavný vzdělávání v MHD být určit všechen cestující v prostředek městský doprava . jediný podmínka být , že jít o vozidlo , který být vybavit obrazovka k přehrávání obsah . přínos vidět v ten , že i když být otázka směřovat spíš na dítě , vzdělávat se být i dospělý , který spousta věc z školní léta již zapomenout . navíc tak lze místo sledování reklama smysluplně strávit čas v MHD a při cestování s dítě být k dispozice i společný zábava .",1
výměna plastový sedačka v vůz MHD,"cíl projekt být zvýšení atraktivita MHD v Brno tak , aby cestující , který již MHD jezdit , opět začít k cestování po Brno používat individuální doprava . navrhovaný opatření spočívat v poskytnutí účelově vázaný dotace na výměna pohodlný tvrdý , kluzký a studený plastový sedačka v vůz DPMB , akciový . společnost . za polstrovaný s koženkový potah , který na rozdíl od látkový mít vysoký náklad na čištění .","zvýšení podíl MHD na úkor individuální doprava přispívat mj . k zlepšení životní prostředí , k snížení spotřeba pohonný hmota a k eliminace potřeba parkovací místo v centrum Brno .",1
skate park v Tuřany,v městský část Brno  Tuřany chybět lokalita vhodný pro vyžití s dítě a mládež na skateboard a freeridový koloběžka .,"dítě v Tuřany v současný doba prakticky mít prostor , kam být moci jít po škola . většina dříve veřejnost přístupný plocha být v současný doba oplotit a provozovat soukromý subjekt . dítě tak mít místo , kam být se zajít po škola hrát . dříve být možný jezdit na skateboard po ulice . dopravní situace se v Tuřany natolik zhoršit , že již být představitelný ulice k tento aktivita využívat . být ten ani bezpečný . z ten důvod navrhovat , aby v Tuřany vzniknout skateboardový hřiště , kam být dítě moci chodit v svůj volný čas jezdit za bezpečný zábava . navrhnout být pro projekt pozemek , který být situovat v klidný lokalita , u sportoviště a stávající škola .",1
"pomoci , když moci","minulý rok být chtít vytříděný oblečení a hračka pomoci potřebný . vědět být o všeobecně známý místo , který už třeba být i přesytit . tak být pátrat dál a zjistit , kolik další , méně známý pomáhající organizace být , a že být třeba využít další věc , který lidé ležet doma . ale člověk chtít pomoci a ne obvolávat desítka organizace , co který potřebovat a rozvážet po celý Brno . a tak já napadnout , sdružit na jedny webový stránka potřeba jednotlivý organizace spolu s kontakt , případně informace , kdy být možný věc přivézt . pomoci , když moci být tedy mít být přehledný webový stránka , který být být pravidelně aktualizovat dle jeho momentální potřeba . uživatel být se moci jednak zobrazit seznam dle organizace ( pomoci přímo kdo chtít ) nebo vyhledávání dle ten , co chtít darovat a zobrazit se on , kdo v Brno tento věc ocenit . případný nadstavba být moci být organizovaný sběr velký množství věc .","cíl projekt být , aby lidé , který chtít pomoci ostatní , moci rychle najít informace o ten , kam on moci směřovat . pomáhající organizace být mít možnost prezentovat svůj stálý i aktuální potřeba . pomoc být také moci být lépe rozvrstvit mezi velký množství i méně známý organizace . dojít být k efektivní propojení mezi potřebný a ten , který mít možnost pomoc . předpokládaný uživatel být na jeden strana jednotlivec , který chtít pomoci , na strana druhý dětský domov , domov pro matka s dítě v nouze , domův pro senior , hospicy , chráněný domov pro oběť domácí násilí , organizace pro lidé bez domov apod .",1
venkovní xylofon v Björnsonův sad,"Björnsonův sad po obnova ožít a přitáhnout spousta lidé , který využívat nově instalovaný prvek  lavička , blok na sezení , posilovací hrazda atp . v park však chybět hudební prvek , který být rozvíjet muzikálost dítě i dospělý . venkovní xylofon být u my i v svět populární a docela běžný , tak proč on pár mít i zde ?",rozvoj vztah k hudba u dítě i dospělý .,1
komunitní kompost na Ečer,"stačit být jeden velký komunitní kompost nebo dva malý v prostranství mezi lichý a sudý ulice Ečerův . v prostor být vysoký strom , trávník , keř a také místo pro popelnice . být tu umístit i popelnice pro tříděný odpad . z ten vyplývat , že pokud už nést odpadky a pokud už třídit , tak přeci moci nést i odpad na kompost . případně být na kompost moci přijít i tráva z sekání . vzniklý kompost se moci použít na cokoli , třeba jen na pohnojení keř nebo tráva . jen prostě ulevit popelnice . na každý kompost muset být znázornit , co do kompost patřit . a pak už být ten na každý , aby ten šlupka od brambora vyhodit místo do popelnice na kompost .","ochrana příroda , využití odpad , opakovatelnost  lze aplikovat i v jiný čtvrť a ulice , vzdělávání napříč generace .",1
nový územní studie oblast na pomezí MČ Žabovřesky a Komín,"urbanistický studie oblast mezi ulice Podveská – Štursův – rosický náměstí – Stránské a kníničský . studie být být klást důraz na uchování poslední zbytek zeleň a zahrádka . a také navrhnout nový cesta , který spojit Žabovřesky s Komín přes tramvajový trať a ulice sochorový s žabovřeský louka .","v poslední 10 léta probíhat v lokalita na pomezí Žabovřesky a Komín bouřlivý stavební rozvoj . na místo původní zeleň vyrůst vysoký bytový dům , původní cesta , který tudy vést , být zahradit . studie být řešit další rozvoj lokalita tak , aby se proměnit v příjemný místo k život .",0
"piknik park jezerůvky s multifunkční hřiště , Ivanovice","pozemek město o výměra 2.859 metr 2 , při ulice Jezerůvka , se díky svůj poloha v krásný přírodní prostředí a zároveň v těsný blízkost dům a byt , obydlený převážně mladý lidé a rodina , výborně hodit k umístění volnočasový prostor . umožňovat vybudovat oplocený víceúčelový hřiště , parkový stromový zeleň s jednoduchý lavička do země , a také piknikový místo , tvořený dva zděný gril a dřevěný lavice s stůl k posezení . multifunkční hřiště umožnit provozovat na plocha 18 x 36 metr rozmanitý typ sport  tenis , volejbal , fotbal , nohejbal , košíková , malý kopaná , házená , streetball a florbal . prostor pro jednotlivý sport být od se odlišit různobarevný nalajnování a osadit sportovní vybavení . v základní nabídka být tenisový a volejbalový sloupek s síť , branka pro malý kopaná a házená a branka pro floorball . Hřiště být oplotit pletivo o výška 4 metr a osadit 60 centimetr vysoký dřevěný mantinel . povrch být umělý trávník , který být vysoce odolný , výborně tlumit náraz , mít velice nízký nárok na údržba a dlouhý životnost . ten zajistit plný využitelnost prostor hřiště , a na pozemek ponechat dost místo pro parkový relaxační zóna s lavička , a také pro piknikový posezení u gril a stůl s lavice . svůj charakter ten být spíš lesopark , který mimo relaxace , rekreace , zábava a sportovní aktivita být mít i funkce okrasný a krajinotvorný .","park umožnit všestranný vyžití pro široký okolí , a to nejen kvalitní sportovní , ale i přátelský setkávání všechen generace . vítaný pro celý lokalita být vysázený parkový zeleň , který být stínit sportoviště a vytvářet příjemný atmosféra pro relaxace po celý rok . piknikový místo s dřevěný lavice s stůl a dva gril umožnit příjemný trávení volný čas rodina a přítel z široký okolí . Zastávka MHD a blízký prodej nápoj , včetně WC , být odtud vzdálený 150 metr . univerzální hřiště využít dítě a mládež od malý kopaná , floorball až po basket , večer se určitě rád přijít zahrát volejbal i dospělý . být ten prostor připravený pro různý hra od ráno do večer . na přání lze doobjednat basketbalový koš na konstrukce , osvětlení hřiště , apod . v současný doba být ten prázdný a využívaný pozemek , jeho úprava na multifunkční park ( lesopark ) být jednoznačný přínos pro veřejnost i náš životní prostředí .",1
úprava stezka mezi Bystrc a Žebětín pod kopec pekárna,"jednat se o zpřístupnění stezka podél potok Vrbovec . na některý úsek být stezka velmi úzký ( hrozit pád do potok ) a přes potok být doposud odpovídající lávka . úprava stezka být mít být od penzion Eliot po panelový cesta k ulice . Štouračův . stezka být mít být upravit například . pro kočárek . úprava stezka být mít zahrnovat zpevnění břeh potok ( na některý místo ) a především mostek přes potok Vrbovec za areál Eliot ( 49 ° 12 \ ' 49.715 \ "" N , 16 ° 30 \ ' 11.068 \ "" E ) . další mostek být moci být v Bystrc ( 49 ° 12 \ ' 51.153 \ "" N , 16 ° 31 \ ' 6.628 \ "" E ) .","veřejný prospěch projekt být značný , otevřít se zapomenutý cesta a v případ propojení s oblast Kamechy se lidé pohodlně dostat i do údolí oddech . uživatel tedy být obyvatel Žebětín i Bystrc .",1
