project_name,project_description,public_interest,status
jedlý park Líšeň,"1,5 hektar prostupný křovisko plný odpadky uprostřed sídliště Brno Líšeň přeměnit jedlý park , kde porůst ovocný strom , keř bylinka . Lavičky stín ořešák , dětský hřiště daleko silnice , bosý stezka , jezírko , ohniště , záhonek včelín .",přístupný pozemek spousta odpadky blízkost základní škola se stát zelený oáza aktivní odpočinek uprostřed sídliště Brno Líšeň . senior pejsek maminka dítě aktivně odpočívat uprostřed zeleň namísto rozpálený asfaltový betonový plocha panelák .,1
les pes,"jakožto majitelka chrt velmi ocenit bezpečný místo volný pohyb pes . Brno existovat výběh pes , bohužel velikost dostačující rychlý běhavý pejsek . líbit se myšlenka oplocený les , několik kilometrový trasa stezka , kde se dát pes bezpečně vypustit . se jednat místo , bez divoký zvěř . přípustný taktéž velký louka pole .",místo odpočinek zábava rodina pejsek . vycházka pes bez stres zranění způsobený útěk lov zvěř .,1
bezbariérově MHD příroda,"konečný zastávka tramvaj Obřany výchozí místo výlet příroda . krásný cyklostezka Bílovice vozíčkář . se pomoc MHD dostat . proto , zde vystoupit tramvaj . pomoci vybudování zvýšený chodník místo výstup podobně místo nastupování tramvaj , možný vysunutí plošina vozík . smysl projekt . bezbariérový výstup tramvaj sloužit vozíčkář rodina usnadnit přístup krásný brněnský příroda aniž víkend startovat auto . proč navrhovat ? vlastní zkušenost vědět , bezbariérový výstup zde chybět . malý poznámka závěr . možná existovat Brno zastávka MHD , vybudování bezbariérový nástupiště usnadnit vozíčkář cesta příroda .","zvýšený chodník posloužit vozíčkář , se dopravit příroda tramvaj jezdit auto . umožnit , konečná Brno Obřany vystoupit tramvaj , usnadnit používání krásný cyklostezka příroda rodina vozíčkář jakýkoliv věk .",1
opěrný odpočinkový sloup cestující hromadný městský doprava,"opěrný odpočinkový sloup se skládat kovový konzole , zakončený navařený kovový patka . kovový konzole upravený odkloněný 100 ° vzad . opěrný část navržený lamino rozměr 1 000 x 500 x 5 . lamino přišroubovaný úchyt sloup . opěrný odpočinkový sloup možný umístit stávající zastávka MHD . lze umístit zelený park , úřad město .","opěrný sloup se každý zájemce opřít záda . krátkodobý uvolnění , nastat , dojít uvolnění páteř částečný uvolnění kloub noha . zejména ocenit lidé , sedavý zaměstnání starý lidé .",1
dlážděný chodník skrz parčík tramvajový zastávka židovský hřbitov,"Černovice ulice . Turgeněvův propojit Židenice lávka nad ulice . ostravský ulice . Nezamyslův . levý ulice . Nezamyslův směr centrum město chodník . Černovice zastávka \ "" židenický hřbitov \ "" ( tram . číslo . 8 ) vybraný možnost : 1 . projít prošlapaný zpevněný stezka skrz parčík ( parcela . 386 / 1 386 / 3 ) , případ špatný počasí tam bláto kluzko , hrozit úraz . MČ Židenice situace řešit cedule , se cesta zima udržovat . 2 . zastávka lze dojít podél plot Siko blízkost tram . kolej . zakázat chodec respektovat ( kdo se plácat bláto , štěrk ) . 3 . zastávka se lze dostat chodník , nutný dvakrát přejít ulice Nezamyslův komplikace skupina dítě , popřípadě . méně mobilní senior . navrhovat proto chodník délka cirka 100 metr zastávka trasa prošlapaný stezka parcela . 386 / 1 386 / 3 . šířka 150 centimetr ( možnost míjení kočárek ) , pás vodicí dlaždice nevidomý vítat .",projekt posloužit zvýšení bezpečnost komfort chodec .,1
schod ulice Preslův bytovka ulice Neumannová,"navrhovat rekonstrukce občan amatérsky zřízený schodiště Preslová bytovka Neumannová ulice mnoho léta používat občan jednak bytovka pak dále maminka dítě celý okolí , kde zkratka vodit dítě škola hroznový . schodiště hlína rozpadlý beton vždy někdo vyspravit dřevěný laťka zajištěný železa bezpečně trčet nad jednotlivý stupeň . . naprosto chybět madlo , stupnice odpovídat stavební norma . současný stav nafotografovat . Schdiště se nacházet cihlový zeď vila Stiassina .",odstranění hrubý závada nynější amatérsky občan zřízený schodiště zvýšení bezpečnost snížení možnost vážný úraz občan používající schodiště zkratka cesta bytovka Neumannová ulice stanice MHD . dále zvýšení bezpečnost dítě široký okolí zkratka používat cesta škola ulice hroznový . schodiště bezpečně propojit hotový pěší průchod ulice Bohuslav Martinů Preslová ulice Neumannová ( projektovaný schodiště téměř naproti ústí průchod Bohuslav Martin – Preslův navíc se dát projít průchod ulice Barvičův ) .,1
"Brno vonět ! lipový alej pod Baba , Ivanovice","projekt navrhovat vysázení lipový alej stávající lán , kde tvořit krajinný prvek , biopás , větrolam . délka městský parcela cirka 300 metr , šířka 17,5 metr . alej velmi příjemný místo procházka , sportování relaxace obyvatel okolní dům , tlumit hluk , poskytovat příjemný stín květ nádherně daleko vonět . alej možný osadit prolézačka dítě lavička posezení pod lípa . vjezd Brno pole dobře patrný , velice zajímavý krajinný prvek . význam alej nejen estetický relaxační , fungovat ekosystémový prvek , zajišťující hnízdiště migrační zóna hmyz drobný zvěř , poslední řada fungovat větrolam . zvyšovat zároveň průchodnost krajina , tvořit navazující trasa procházka přilehlý les .","projekt krajinný prvek sloužit : ) rodič dítě , senior občan procházka , relaxace odpočinek uprostřed příroda . květ lípa nádherně vonět daleko široko . B ) , kdo bydlet okolí , protože zelený alej snížit množství polétavý prach , utlumit hluk , vsáknout se déšť vytvořit příjemný atmosféra celý , zvláště snížit úpal alej blízký okolí , pole bez přístup , takto uprostřed pole příroda zeleň relaxovat .",1
zastínění dětský hřiště ulice Štouračův Brno Bystrc,"dětský hřiště ulice Štouračův Brno Bystrc vyhledávaný místo rodič dítě . hlavní nevýhoda absence stín herní prvek , určit malý dítě pískoviště houpadlo . následek , hřiště parný slunný den většinou využívat . loni obilní trh dojít zastínění pískoviště prodyšný materiál . zima se zastínění schovávat instalovat jaro . úprava pískoviště ocenit především dítě rodič . podobný zastínění vhodný realizovat dětský hřiště ulice Štouračův . esteticky zapadnout ráz krajina hlavně opatření rád dítě , se parný den hrát zastíněný hřiště . malý dítě rád , kdyby nejen , dítě se hrát bezpečně písek bez strach , dostat úpal . pokud se podařit zrealizovat výsadba vhodný dřevina areál dětský hřiště , postupně nahradit plachta .","projekt určit převážně dítě prevence možný zdravotní komplikace způsobený dlouhý pobyt slunce . prvek ocenit především rodič prarodič ratolest , se hrát hřiště . výsadba vhodný dřevina dlouhodobý hledisko nahradit plachta .",1
omezení rychlost tramvaj ranní noční hodina,", město pomoci zlepšit kvalita život lidé , žijící podél tramvajový trať . navrhovat snížit maximální povolený rychlost tramvaj brzký ranní pozdní noční hodina , snížit hluk vibrace , kdy se obyvatel přilehlý dům užívat zasloužený odpočinek . fáze projekt měření hluk projíždějící tramvaj . měření uskutečnit provoz součinnost DPMB , se dát naměřit hodnota hluk projíždějící tramvaj různý rychlost . pokud se prokázat , snížení maximální rychlost například . 10 15 kilometr / hodina pomoci významně redukovat hluk vibrace projíždějící tramvaj ,","zlepšení kvalita život tisíc lidé , žijící okolí tramvajový trať , brzy ráno probouzení hluk projíždějící tramvaj . uskutečnit se kdykoliv domluva zastupitel městský část DPMB .",0
hudba Brno začínající umělec .,"hudba Brno , hlavně se týkat mladý , začínající hudebník měkký matrace ustlat . . město , tu chybět jakýkoli podpora spousta lidé kvůli vlastní prezentace , hrát důstojně ulice , přitom město dost kapacita vytvořit prostor malý sál , kde se pravidelně střídat začínající kapela , zpěvák se prezentovat budoucí publikum . město zajistit propagace ( webový stránka ) vývěska podobně . zajistit technika zázemí umělec . lidé se zdarma , symbolický zůčastnit tradiční koncert .","lidé , se dostat , přímo zajímavý , originální hudební projekt , se těžko prosazovat těžký komerční sféra , přitom kvalitní zajímavý podpořit . taky zajímavý zdroj kultura Brno , kdyby konečně amatér dostat šance se prezentovat.Na webový stránka pak město čas spustit hodnocení kapela jednotlivec pozdě se soutěžit rámec město muzikant . logický krok pak uplatnění zajímavý hudební uskupení hudební akce město . kruh se uzavírat lidé Brno hrát Brno Brno .",0
hravý vzdělávání MHD,"rád vytvořit velký počet kvízový otázka varianta odpověď , b , c , d . náhodně vybraný otázka se promítnout obrazovka MHD krátký pauza zamyšlení následně se promítnout správný odpověď doplněný případně krátký ilustrační obrázek , video . otázka postupně vznikat konečný množství základ podnět cestující . čas MHD zajímavý dítě dospělý .","zábavný vzdělávání MHD určit cestující prostředek městský doprava . jediný podmínka , vozidlo , vybavit obrazovka přehrávání obsah . přínos vidět , otázka směřovat spíš dítě , vzdělávat se dospělý , spousta věc školní léta zapomenout . navíc lze místo sledování reklama smysluplně strávit čas MHD cestování dítě dispozice společný zábava .",1
výměna plastový sedačka vůz MHD,"cíl projekt zvýšení atraktivita MHD Brno , cestující , MHD jezdit , opět začít cestování Brno používat individuální doprava . navrhovaný opatření spočívat poskytnutí účelově vázaný dotace výměna pohodlný tvrdý , kluzký studený plastový sedačka vůz DPMB , akciový . společnost . polstrovaný koženkový potah , rozdíl látkový vysoký náklad čištění .","zvýšení podíl MHD úkor individuální doprava přispívat mj . zlepšení životní prostředí , snížení spotřeba pohonný hmota eliminace potřeba parkovací místo centrum Brno .",1
skate park Tuřany,městský část Brno Tuřany chybět lokalita vhodný vyžití dítě mládež skateboard freeridový koloběžka .,"dítě Tuřany současný prakticky prostor , kam škola . většina dříve veřejnost přístupný plocha současný oplotit provozovat soukromý subjekt . dítě místo , kam se zajít škola hrát . dříve možný jezdit skateboard ulice . dopravní situace se Tuřany natolik zhoršit , představitelný ulice aktivita využívat . bezpečný . důvod navrhovat , Tuřany vzniknout skateboardový hřiště , kam dítě chodit volný čas jezdit bezpečný zábava . navrhnout projekt pozemek , situovat klidný lokalita , sportoviště stávající škola .",1
"pomoci ,","minulý vytříděný oblečení hračka pomoci potřebný . vědět všeobecně známý místo , třeba přesytit . pátrat dál zjistit , kolik , méně známý pomáhající organizace , třeba využít věc , lidé ležet doma . pomoci ne obvolávat desítka organizace , potřebovat rozvážet celý Brno . napadnout , sdružit jedny webový stránka potřeba jednotlivý organizace spolu kontakt , případně informace , kdy možný věc přivézt . pomoci , tedy přehledný webový stránka , pravidelně aktualizovat dle momentální potřeba . uživatel se jednak zobrazit seznam dle organizace ( pomoci přímo kdo ) vyhledávání dle , darovat zobrazit se , kdo Brno věc ocenit . případný nadstavba organizovaný sběr velký množství věc .","cíl projekt , lidé , pomoci ostatní , rychle najít informace , kam směřovat . pomáhající organizace možnost prezentovat stálý aktuální potřeba . pomoc lépe rozvrstvit velký množství méně známý organizace . dojít efektivní propojení potřebný , možnost pomoc . předpokládaný uživatel jednotlivec , pomoci , dětský domov , domov matka dítě nouze , domův senior , hospicy , chráněný domov oběť domácí násilí , organizace lidé bez domov apod .",1
venkovní xylofon Björnsonův sad,"Björnsonův sad obnova ožít přitáhnout spousta lidé , využívat nově instalovaný prvek lavička , blok sezení , posilovací hrazda atp . park chybět hudební prvek , rozvíjet muzikálost dítě dospělý . venkovní xylofon svět populární docela běžný , proč pár zde ?",rozvoj vztah hudba dítě dospělý .,1
komunitní kompost Ečer,"stačit velký komunitní kompost malý prostranství lichý sudý ulice Ečerův . prostor vysoký strom , trávník , keř místo popelnice . tu umístit popelnice tříděný odpad . vyplývat , pokud nést odpadky pokud třídit , přeci nést odpad kompost . případně kompost přijít tráva sekání . vzniklý kompost se použít cokoli , třeba pohnojení keř tráva . prostě ulevit popelnice . každý kompost znázornit , kompost patřit . pak každý , šlupka brambora vyhodit místo popelnice kompost .","ochrana příroda , využití odpad , opakovatelnost lze aplikovat čtvrť ulice , vzdělávání napříč generace .",1
územní studie oblast pomezí MČ Žabovřesky Komín,"urbanistický studie oblast ulice Podveská – Štursův – rosický náměstí – Stránské kníničský . studie klást důraz uchování poslední zbytek zeleň zahrádka . navrhnout cesta , spojit Žabovřesky Komín přes tramvajový trať ulice sochorový žabovřeský louka .","poslední 10 léta probíhat lokalita pomezí Žabovřesky Komín bouřlivý stavební rozvoj . místo původní zeleň vyrůst vysoký bytový dům , původní cesta , tudy vést , zahradit . studie řešit rozvoj lokalita , se proměnit příjemný místo život .",0
"piknik park jezerůvky multifunkční hřiště , Ivanovice","pozemek město výměra 2.859 metr 2 , ulice Jezerůvka , se díky poloha krásný přírodní prostředí zároveň těsný blízkost dům byt , obydlený převážně mladý lidé rodina , výborně hodit umístění volnočasový prostor . umožňovat vybudovat oplocený víceúčelový hřiště , parkový stromový zeleň jednoduchý lavička země , piknikový místo , tvořený zděný gril dřevěný lavice stůl posezení . multifunkční hřiště umožnit provozovat plocha 18 x 36 metr rozmanitý typ sport tenis , volejbal , fotbal , nohejbal , košíková , malý kopaná , házená , streetball florbal . prostor jednotlivý sport se odlišit různobarevný nalajnování osadit sportovní vybavení . základní nabídka tenisový volejbalový sloupek síť , branka malý kopaná házená branka floorball . Hřiště oplotit pletivo výška 4 metr osadit 60 centimetr vysoký dřevěný mantinel . povrch umělý trávník , vysoce odolný , výborně tlumit náraz , velice nízký nárok údržba dlouhý životnost . zajistit plný využitelnost prostor hřiště , pozemek ponechat dost místo parkový relaxační zóna lavička , piknikový posezení gril stůl lavice . charakter spíš lesopark , mimo relaxace , rekreace , zábava sportovní aktivita funkce okrasný krajinotvorný .","park umožnit všestranný vyžití široký okolí , to nejen kvalitní sportovní , přátelský setkávání generace . vítaný celý lokalita vysázený parkový zeleň , stínit sportoviště vytvářet příjemný atmosféra relaxace celý . piknikový místo dřevěný lavice stůl gril umožnit příjemný trávení volný čas rodina přítel široký okolí . Zastávka MHD blízký prodej nápoj , včetně WC , odtud vzdálený 150 metr . univerzální hřiště využít dítě mládež malý kopaná , floorball basket , večer se určitě rád přijít zahrát volejbal dospělý . prostor připravený různý hra ráno večer . přání lze doobjednat basketbalový koš konstrukce , osvětlení hřiště , apod . současný prázdný využívaný pozemek , úprava multifunkční park ( lesopark ) jednoznačný přínos veřejnost životní prostředí .",1
úprava stezka Bystrc Žebětín pod kopec pekárna,"jednat se zpřístupnění stezka podél potok Vrbovec . některý úsek stezka velmi úzký ( hrozit pád potok ) přes potok doposud odpovídající lávka . úprava stezka penzion Eliot panelový cesta ulice . Štouračův . stezka upravit například . kočárek . úprava stezka zahrnovat zpevnění břeh potok ( některý místo ) především mostek přes potok Vrbovec areál Eliot ( 49 ° 12 \ ' 49.715 \ "" N , 16 ° 30 \ ' 11.068 \ "" E ) . mostek Bystrc ( 49 ° 12 \ ' 51.153 \ "" N , 16 ° 31 \ ' 6.628 \ "" E ) .","veřejný prospěch projekt značný , otevřít se zapomenutý cesta případ propojení oblast Kamechy se lidé pohodlně dostat údolí oddech . uživatel tedy obyvatel Žebětín Bystrc .",1
veřejný grilování,"nápad umístění elektrický gril veřejný grilování . zdravý , rychlý , bez odpad . park chybět možnost bezpečný grilování bez oheň , zvláště období sucho , kdy velký nebezpečí založení požár . žádný zbytečný odpad grilování popel , obal uhlí špinavý gril uhlí . maso uzený chuť dýmající uhlí , udělat zdraví .",příležitost nejen celý rodina místo bydliště bez nutnost dlouhý dojíždění užít se pohodlný grilování . se příjemně naladit kamarád odpolední dýchánek kus žvanec večerní tah bez zbytečný proprieta .,0
dětský hřiště kavárna areál Bzzzukot Židenice,"Židenice se poslední léta často stěhovat mladý rodina dítě pár , zde plán zapustit kořen ( samozřejmě zde mnoho rodina dítě žít nyní ) . současně zde vznikat bytový dům , přilákat množství obyvatel . zástavba bytový dům možný tu tam najít dětský hřiště pískoviště pár hrací prvek . zde takový místo , kde se rodina dítě potkávat velký prostor , nabízet hrací prvek dítě , možnost společný setkávání . projekt takový místo představovat . ideální místo se nacházet plácek bývalý fotbalový hřiště poliklinika viniční areál Bzzzukotsko . současný zde několik příležitost vyžití dítě mládež , starý věk – skatepark , work outový hřiště , lezecký stěna nově skluzavka . rámec projekt přidat herní prvek malý dítě vytvořit zázemí rodič kavárna . projekt umožňovat navazující fáze podoba například . vybudování hřiště různý sport . navíc díky provoz kavárna projekt generovat příjem . herní prvek dítě – finální sestava vytvořit základ hlasování rodina dítě , ochotný zapojit se hlasování . součást projekt „ zázemí rodič “ – malý montovaný kavárna ( obytný kontejner ) , se návštěvník hřiště dát něco osvěžení něco zub . kavárna nabídnout zapůjčení různý venkovní hra , pétangue , kubb apod . provoz kavárna především sezonní uzpůsobit zázemí – počítat se vnitřní posezení , venkovní ( včetně . krytý část ) lavička stolek . rozměrově tedy objekt sklad , WC prodejní prostor kavárna celkem cirka 30 metr 2 přístřešek cirka 25 metr 2 . pozemek majetek město Brno , tudíž investice podoba výkup pozemek hrozit . infrastruktura zajistit prostřednictví MHD – autobusový linka zastavovat přímo místo hřiště , konečný zastávka tramvaj velice blízko .","cílový skupina především rodina dítě , ne výhradně . cíl projekt totiž vybavení plocha hrací prvek zázemí kavárna , vytvoření místo úchvatný výhled Brno krásný prostředí židenický kopec , kde se lidé setkávat přitom sledovat ratolest , se spolu hrát . Židenice se poslední léta velice často stěhovat mladý rodina dítě pár , zde plán zapustit kořen ( samozřejmě zde mnoho rodina dítě žít nyní ) . současně zde vznikat bytový dům , přilákat množství obyvatel – například . rezidence Juliana . zástavba bytový dům možný tu tam najít dětský hřiště pískoviště pár hrací prvek . zde takový místo , kde se rodina dítě potkávat velký prostor , nabízet hrací prvek dítě , možnost společný setkávání sezónní kavárna . projekt takový místo představovat .",1
