;ID;Subjekt;Odůvodnění;Závěr
20;41;MČ Brno-Žabovřesky;EMPTY;proveditelný
21;42;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, s prioritou KVALITA ŽIVOTA, s opatřeními Podpora nabídky volnočasových aktivit, rekreace a sportu a Zajištění bezpečnosti obyvatel města;proveditelný
22;42;Majetkový odbor;Majetek města svěřený městské části;proveditelný
23;42;MČ Brno-Slatina;EMPTY;proveditelný
24;48;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA,  Podpora nabídky volnočasových aktivit, rekreace a sportu;proveditelný
25;48;Odbor kultury;EMPTY;proveditelný
26;49;Majetkový odbor;Majetek města;proveditelný
27;49;Odbor dopravy;Mírné zvýšení nacenění a započítání také obnovy jedenkrát za 3 roky.;proveditelný
28;49;MČ Brno-střed;EMPTY;proveditelný
29;49;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: DOPRAVA A TECHNICKÁ INFASTRUKTURA, Řešení dopravy, ochrana centra před nadměrnou dopravou, parkování;proveditelný
30;63;Majetkový odbor;"Nejedná se o ucelenou plochu v majetku města.
";neproveditelný
31;63;Odbor územního plánování a rozvoje;Pozemky, na kterých je projekt navrhován, náleží dle územního plánu do plochy ostatní městské zeleně, která parkově upravená veřejná prostranství zahrnuje a do plochy smíšené výroby a služeb. Zde se zeleň připouští pouze jako součást této funkční plochy, nikoli jako její hlavní účel využití, který je jiný. Projekt může být dle územního plánu realizován v ploše městské zeleně, v ploše smíšené výroby a služeb pouze  v omezeném rozsahu.;proveditelný s úpravami
32;63;Odbor strategického rozvoje a spolupráce;"Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Podpora nabídky volnočasových aktivit, rekreace a sportu; Zlepšení kvality veřejných prostranství a vybraných složek životního prostředí";proveditelný
33;63;Odbor investiční;"Projekt je finančně podhodnocený, v tomto rozsahu nesplní podmínky PaRo.
";neproveditelný
34;63;Odbor životního prostředí;"Záměr nelze realizovat dle zpracované architektonické studie, která počítá s využitím pozemků, které nejsou v majetku města a plochách v územním plánu určeny pro výstavbu.
";neproveditelný
35;66;Odbor vodního a lesního hospodářství a zemědělství;"Oplocení lesa není možné, došlo by k výraznému omezení lesnického obhospodařování lesního porostu v dané lokalitě (obnova, výchova, lesní doprava apod.). Rovněž by došlo k negativnímu zásahu do výkonu práva myslivosti a omezení obecného užívání lesa občanskou veřejností. K danému záměru navrhujeme využití pozemků mimo les.
";proveditelný s úpravami
36;66;Odbor územního plánování a rozvoje;S ohledem na navrhovaný účel využití byl dle Územního plánu města Brna jako vhodná plocha pro projekt vytipován pozemek p. č. 621/3 katastrální území Mokrá Hora, a to v rozsahu plochy městské zeleně rekreační. U veřejně přístupných ploch zeleně je vždy potřeba vzít v úvahu ochranné režimy na daném území, které často možnost oplocení vylučují. Projekt může být realizován za podmínky, že plochy rekreační městské zeleně budou veřejně přístupné (vstup do výběhu nebude uzamčen).;proveditelný s úpravami
37;66;Odbor životního prostředí;Pro daný projekt může být využit vytipovaný pozemek p.č. 621/3 k.ú. Mokrá Hora. Je nutné zvolit vhodný typ oplocení umožňující migraci drobných živočichů.;proveditelný
38;66;Majetkový odbor;"Vytipovaná plocha, pozemek p.č.621/3 k.ú.Mokrá hora, je ve vlastnictví města (svěřeno městské části).
";proveditelný
39;66;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Podpora nabídky volnočasových aktivit, rekreace a sportu;proveditelný
40;66;MČ Brno-Řečkovice a Mokrá Hora;"Městská část nesouhlasí s realizací projektu. S odůvodněním: “není řešena návaznost na zákon č. 289/1995 Sb., o lesích a o změně některých zákonů (lesní zákon), v platném znění\"".";neproveditelný
41;68;Majetkový odbor;Pozemek je majetkem města.;proveditelný
42;68;Odbor investiční;Připravuje DpmB jako svou investici s předpokladem vydání stavebního povolení do konce roku 2017 a realizací v roce 2018 (kompletní rekonstrukce smyčky, zastávek a části komunikace).;neproveditelný
43;68;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Účinná politika města v sociální a zdravotní oblasti – zaměřeno na podporu projektů zabývajících se odstraňování fyzických bariér;proveditelný
44;69;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, s prioritou KVALITA ŽIVOTA, s opatřením Zlepšení kvality veřejných prostranství a vybraných složek životního prostředí;proveditelný
45;69;Odbor dopravy;V případě realizace nutný územní souhlas a navýšení nákladů projektu.;proveditelný
46;69;MČ Brno-Slatina;EMPTY;proveditelný
47;69;Majetkový odbor;Majetek města svěřený městské části;proveditelný
48;78;Majetkový odbor;Majetek města;proveditelný
49;78;Odbor investiční;Navýšit náklady na přípravu a realizaci. Nutný územní souhlas.;proveditelný s úpravami
50;78;Odbor dopravy;EMPTY;proveditelný
51;78;Odbor územního plánování a rozvoje;"Jedná se o obnovu stávající cesty v ploše zeleně.
";proveditelný
52;78;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Řešení dopravy, ochrana centra před nadměrnou dopravou, parkování;proveditelný
53;78;MČ Brno-Židenice;EMPTY;proveditelný
54;83;Majetkový odbor;Nejedná se o majetek města,  pouze nepatrná část zeleně od ul. Preslova je v majetku města - na této části schody nejsou (jedná se o přístup z chodníku ke stávajícím schodům).;neproveditelný
55;87;Majetkový odbor;Majetek města;proveditelný
56;87;Odbor územního plánování a rozvoje;"Dle Územního plánu města Brna se jedná o součást celistvé plochy zemědělského půdního fondu, která je ve dvou variantách konceptu nového územního plánu součástí zastavitelné plochy. Realizace aleje by mohla narušit její budoucí využití.
";neproveditelný
57;87;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Podpora nabídky volnočasových aktivit, rekreace a sportu.;proveditelný
58;87;Odbor vodního a lesního hospodářství a zemědělství;Pozemek p. č. 553/68 - orná půda v k.ú. Ivanovice  je pod ochranou zákona č. 334/1992 Sb., o ochraně zemědělského půdního fondu.;proveditelný
59;87;MČ Brno-Ivanovice;"Městská část nesouhlasí s realizací projektu z důvodu kolize s usnesením Zastupitelstva městské části Brno-Ivanovice k rozvojové lokalitě I-2.
";neproveditelný
60;91;Majetkový odbor;Majetek města;proveditelný
61;91;Odbor investiční;EMPTY;proveditelný
62;91;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Podpora nabídky volnočasových aktivit, rekreace a sportu;proveditelný
63;91;MČ Brno-Bystrc;"Městská část souhlasí s případnou realizací projektu za podmínky, že bude upraven následujícím způsobem: 1) zastínění bude tvořit celkem 6 sloupků a 3 plachty, stejně jako na pískovišti na Obilném trhu, z důvodu větší účinnosti; 2) nebude prováděna výsadba stromů z důvodu nepříznivých prostorových poměrů.
";proveditelný s úpravami
64;107;missing assessment of feasibility;missing assessment of feasibility;missing assessment of feasibility
65;108;missing assessment of feasibility;missing assessment of feasibility;missing assessment of feasibility
66;111;Odbor městské informatiky;EMPTY;proveditelný
67;111;Odbor dopravy;Náklady na 1 spot jsou 2000 Kč, při vyšším množství obvykle množstevní sleva.  ;proveditelný
68;111;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: VÝZKUM, VÝVOJ, INOVACE A VZDĚLÁVÁNÍ, Účinná politika města v oblasti rozvoje lidských zdrojů;proveditelný
69;113;Odbor dopravy;"V současné době probíhá ze strany Dopravního podniku města Brna výměna sedacích částí plastových sedaček za polstrované. V případě realizace projektu budou sedáky vyměněny za látkové.
";proveditelný s úpravami
70;113;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno a částečně souvisí s prioritou DOPRAVA A TECHNICKÁ INFRASTRUKTURA, Zajištění komfortní MHD, IDS.;proveditelný
71;115;Majetkový odbor;Majetek města;proveditelný
72;115;Odbor investiční;Projekt není specifikován, proto při zadání bude limitním kritériem rozsahu díla cena, při odečtu nákladů za přípravu a tříletý provoz.;proveditelný
73;115;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Podpora nabídky volnočasových aktivit, rekreace a sportu;proveditelný
74;115;Odbor územního plánování a rozvoje;"Pozemek je pro realizaci skate parku z hlediska přípustnosti  objektů dle Územního plánu města Brna vhodný. 
";proveditelný
75;115;MČ Brno-Tuřany;EMPTY;proveditelný
76;124;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Účinná politika města v sociální a zdravotní oblasti (Projekt odpovídá zaměření tohoto opatření, které je zaměřeno na podporu zdraví obyvatel, integraci specifických skupin obyvatel, na prosazení principů rovných příležitostí a prevenci sociální exkluze).;proveditelný
77;124;Odbor městské informatiky;Projekt je realizovatelný podle předloženého návrhu. Rovněž rozpočet zhruba odpovídá požadavkům na projekt. Cesta nového malého webu není ale zcela žádoucí, web se vytvoří, musí dostat publicitu a musí být udržitelný. Dáváme  na zvážení alternativu zakomponovat tuto službu do nově připravovaného webu města Brna. ;proveditelný
78;124;Odbor sociální péče;"Velmi dobrý nápad, který může navázat na současné aktivity města (nábytková banka, potravinová banka) nebo NNO (sbírky oblečení atd.). OSP osloví  konkrétní NNO s nabídkou zapojení až ve fázi rozhodnutí o realizaci projektu.
";proveditelný
79;140;Majetkový odbor;Majetek města;proveditelný
80;140;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA,  Podpora nabídky volnočasových aktivit, rekreace a sportu;proveditelný
81;140;MČ Brno-střed;EMPTY;proveditelný
82;140;Odbor investiční;Projekt je podhodnocen (instalace, servis, údržba), ale splní podmínky PaRo.;proveditelný
83;142;Majetkový odbor;Majetek města;proveditelný
84;142;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Zlepšení kvality veřejných prostranství a vybraných složek životního prostředí – Zvyšování kvality a vybavenosti veřejných prostranství;proveditelný
85;142;MČ Brno-Bystrc;MČ nesouhlasí s realizací projektu z důvodu, že se jedná o nesystémové řešení, které neřeší problematiku likvidace biologického odpadu v Bystrci komplexně. Podporuje však plánované umístění kontejnerů na biologický odpad v městské části na co největší množství stanovišť.;neproveditelný
86;146;missing assessment of feasibility;missing assessment of feasibility;missing assessment of feasibility
87;151;Majetkový odbor;"Samotná navrhovaná plocha je v majetku města, která je přístupná  z komunikace U Křížku a dále polní cestou. Z ulice Jezerůvky není přístupná po pozemcích města.
";proveditelný
88;151;Odbor územního plánování a rozvoje;Dočasné využití ploch zemědělského půdního fondu se řídí zákonem č.334/1992 Sb. o ochraně zemědělského půdního fondu.;proveditelný s úpravami
89;151;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Podpora nabídky volnočasových aktivit, rekreace a sportu;proveditelný
90;151;MČ Brno-Ivanovice;EMPTY;proveditelný
91;151;Odbor vodního a lesního hospodářství a zemědělství;"V případě realizace projektu nutný souhlas s odnětím ze zemědělského půdního fondu s jednorázovým poplatkem a kladné stanovisko příslušného stavebního úřadu s možností realizace dané stavby. 
";proveditelný
92;154;Majetkový odbor;Pouze část pozemků je v majetku města. Jednotnou cestu tedy nelze realizovat.;neproveditelný
93;157;missing assessment of feasibility;missing assessment of feasibility;missing assessment of feasibility
94;168;Majetkový odbor;Na vytipovaný pozemek hřiště je uplatněn restituční nárok. Umístit kavárnu, případně i hřiště na pozemky bez restitucí.;proveditelný s úpravami
95;168;Odbor územního plánování a rozvoje;Dle územního plánu jsou pozemky, na kterých je navrhován projekt, v plochách rekreační zeleně a tudíž jsou pro tento účel využití vhodné.;proveditelný
96;168;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Podpora nabídky volnočasových aktivit, rekreace a sportu;proveditelný
97;168;MČ Brno-Židenice;Rada městské části Brno-Židenice souhlasí s provozováním kavárny z úrovně městské části a s realizací přípojek vody a kanalizace, včetně souvisejících povolení a zajištění finančních prostředků na realizaci přípojek z úrovně městské části Brno-Židenice před začátkem realizace projektu.;proveditelný
98;170;Majetkový odbor;Vytypovaný pozemek je v majetku města;proveditelný
99;170;Odbor strategického rozvoje a spolupráce;KVALITA ŽIVOTA, Podpora nabídky volnočasových aktivit, rekreace a sportu + Podpora rozvoje kulturního vyžití a zachování kulturního dědictví;proveditelný
100;170;Odbor rozpočtu a financování;Problémem jsou finanční ceny v netransparentní soutěži – tato část není veřejně prospěšná dle Zásad PaRo, čl. V., bod 1a.;neproveditelný
101;172;Majetkový odbor;"Majetek města svěřený městské části. Na pozemcích jsou stavby v soukromém vlastnictví.
";proveditelný s úpravami
102;172;Odbor investiční;Některé položky jsou v projektu podhodnocené, chybí nacenění projektové dokumentace, nutný územní souhlas.;proveditelný s úpravami
103;172;Odbor územního plánování a rozvoje;"Jedná se o návrhovou plochu určenou k bydlení. Záměr lze ale připustit jako dočasné využití území.
";proveditelný
104;172;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Podpora nabídky volnočasových aktivit, rekreace a sportu;proveditelný
105;172;MČ Brno-Bohunice;Městská část nesouhlasí s realizací projektu.;neproveditelný
106;179;Majetkový odbor;"Majetek města ve správě Lesů města Brna, a.s.
";proveditelný
107;179;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Zlepšení kvality veřejných prostranství a vybraných složek životního prostředí + Podpora nabídky volnočasových aktivit, rekreace a sportu;proveditelný
108;179;Odbor vodního a lesního hospodářství a zemědělství;"Jedná se o hráz suchého poldru - protipovodňová ochrana města Brna, alej stomů nevadí.
";proveditelný
109;179;MČ Brno-Řečkovice a Mokrá Hora;EMPTY;proveditelný
110;180;Majetkový odbor;Jedná se o majetek města.;proveditelný
111;180;Odbor investiční;Projekt nemá reálný odhad cen nákladů.;proveditelný s úpravami
112;180;Odbor územního plánování a rozvoje;Realizace projektu neovlivní účel využití území z hlediska územního plánu.;proveditelný
113;180;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Podpora nabídky volnočasových aktivit, rekreace a sportu, Podpora rozvoje kulturního vyžití a zachování kulturního dědictví;proveditelný
114;180;MČ Brno-Vinohrady;MČ nesouhlasí s realizací projektu.;neproveditelný
115;181;Majetkový odbor;Majetek města;proveditelný
116;181;Odbor dopravy;"V bývalé točně jsou již parkovací místa v maximální míře, další parkovací místa dle návrhu by omezila rozhledové trojúhelníky. V současné točně trolejbusů lze vytvořit nová parkovací místa. Je třeba dořešit vjezd a celkové uspořádání.
";proveditelný s úpravami
117;181;Odbor investiční;Projekt je mírně podhodnocen, nutné navýšení rozpočtu.;proveditelný s úpravami
118;181;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: DOPRAVA A TECHNICKÁ INFRASTRUKTURA, řešení dopravy, ochrana centra před nadměrnou dopravou – zaměřeno mj. i na dořešení parkování na sídlištích;proveditelný
119;181;MČ Brno-Bystrc;EMPTY;proveditelný
120;182;Majetkový odbor;Pozemky města je nutné vytyčit.;proveditelný s úpravami
121;182;Odbor investiční;Nutno navrhnout způsob odvodnění a následné likvidace srážkových vod, náklady lze stanovit až po zpracování projektové dokumentace. Projekt nelze realizovat do 1 roku.;neproveditelný
122;182;Odbor územního plánování a rozvoje;EMPTY;proveditelný
123;182;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Podpora nabídky volnočasových aktivit, rekreace a sportu;proveditelný
124;188;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, s prioritou KVALITA ŽIVOTA, s opatřením Zlepšení kvality veřejných prostranství a vybraných složek životního prostředí;proveditelný
125;188;Majetkový odbor;Majetek města svěřený městské části;proveditelný
126;188;MČ Brno-Slatina;EMPTY;proveditelný
127;199;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to s prioritou KVALITA ŽIVOTA, s opatřením Podpora nabídky volnočasových aktivit, rekreace a sportu.;proveditelný
128;199;MČ Brno - Žebětín;Městská část souhlasí s případnou realizací projektu za podmínky umístění v areálu SK Žebětín a souhlasí s převzetím do správy.;proveditelný
129;199;Majetkový odbor;Majetek města, svěřený městské části;proveditelný
130;199;Odbor investiční;"Odhad ceny reálný. Při zadání bude limitním kritériem rozsahu díla cena, po odečtu nákladů za přípravu a tříletý provoz.

";proveditelný
131;200;Majetkový odbor;"Všechny pozemky nejsou v majetku města.
";neproveditelný
132;200;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA - Zlepšení kvality veřejných prostranství a vybraných složek životního prostředí;proveditelný
133;200;MČ Brno-Bystrc;"Městská část souhlasí s realizací projektu, ale upozorňuje na značně podhodnocenou cenu v rozpočtu projektu.
";proveditelný
134;201;missing assessment of feasibility;missing assessment of feasibility;missing assessment of feasibility
135;203;Majetkový odbor;"Valná část majetku města u cesty i část cesty bude vydána restituentům.
";neproveditelný
136;203;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Zlepšení kvality veřejných prostranství a vybraných složek životního prostředí;proveditelný
137;204;Majetkový odbor;"Majetek města se nachází pouze pod samotnou komunikací Meluzínova a pod chodníkem vpravo u výjezdu na ulici Svatoplukova.
";proveditelný
138;204;Odbor dopravy;"Vzhledem k velikosti křižovatky není zrcadlo vhodným řešením, nicméně problém vzniká nedostatečnou péčí o zeleň, jež by v této poloze neměla být vyšší než 70 cm. Na Brněnské komunikace byl dán podnět na zlepšení správy zeleně.  
";neproveditelný
139;204;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: DOPRAVA TECHNICKÁ INFRASTRUKTURA, Řešení dopravy, ochrana centra před nadměrnou dopravou (Podpora všech druhů opatření k zajištění dopravní bezpečnosti);proveditelný
140;206;Majetkový odbor;Majetek města;proveditelný
141;206;Odbor dopravy;V rámci případné realizace je pak nutné vyjádření PČR.;proveditelný
142;206;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Zajištění bezpečnosti obyvatel města.;proveditelný
143;206;MČ Brno-střed;EMPTY;proveditelný
144;209;Majetkový odbor;Majetek města;proveditelný
145;209;Odbor životního prostředí;"Park Lužánky je od roku 1958 kulturní památkou a byl rekonstruován z dotace EU.  V parku Lužánky není možné budovat další hřiště – jsou tady 2 velké tenisové kurty, 1 volejbalové hřiště, dětské hřiště, pískoviště, dopravní hřiště, fit přístroje na cvičení, petangové hřiště. Park je koncipován jako odpočinkové místo umožňující některé sportovní aktivity, ale není prioritně sportovištěm.
";neproveditelný
146;209;Odbor implementace evropských fondů;"V části parku Lužánky byl realizován projekt, jehož udržitelnosti skončí v říjnu 2018 (Rekonstrukce parku Lužánky, V. etapa, 2. část). Aktivity projektu se musí vyhnout území, na kterém se realizovaly aktivity projektu.

";proveditelný s úpravami
147;209;Odbor územního plánování a rozvoje;"V plochách parků jsou přípustné pozemní objekty, stavby a zařízení, které svým charakterem odpovídají způsobu využívání ploch zeleně a mají doplňkovou funkci.
";proveditelný
148;209;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Podpora nabídky volnočasových aktivit, rekreace a sportu;proveditelný
149;210;Odbor investiční;Kryje se s již připravovanou investicí města.;neproveditelný
150;210;Majetkový odbor;Jedná se o majetek města.;proveditelný
151;210;Odbor územního plánování a rozvoje;V území platí podrobnější územně plánovací dokumentace. Cesta musí ctít závazně vymezenou trasu v podrobnější ÚPD a musí sloužit jako stezka pro pěší s mlatovým či betonovým povrchem.;proveditelný s úpravami
152;210;Odbor rozpočtu a financování;Kolize s již připravovanou akcí MMB.;neproveditelný
153;217;Majetkový odbor;Jedná se o pozemky města.;proveditelný
154;217;Odbor implementace evropských fondů;Udržitelnost skončí v roce 2017.;proveditelný
155;217;Odbor dopravy;Zastávka je trvalá, nicméně doplňková, nepočítá se s úpravou prostoru i vzhledem ke koncepci Moravského náměstí.;neproveditelný
156;217;Odbor památkové péče;Moravské náměstní je součástí Městské památkové rezervace (nařízení vlády č. 54/1987 Sb.), tento prostor byl předmětem celkové rekonstrukce, která byla realizována v r. 2010. V rámci nové architektonicko-urbanistické koncepce bylo rovněž řešeno rozmístění jednotlivých uměleckých děl a dalších prvků, včetně městského mobiliáře. Schválená koncepce nepředpokládá, že by v prostoru Moravského náměstí měla být umístěna zastávka městské dopravy a další mobiliář. Nekoncepční vkládání dalších účelových prvků není v návaznosti na kulturní památky s dominantou kostela sv. Tomáše a taktéž v kontextu s nově pojatým prostorem z hlediska zájmů státní památkové péče žádoucí. ;neproveditelný
157;220;Majetkový odbor;Majetek města;proveditelný
158;220;Odbor dopravy;"V navrhované poloze nelze dosáhnout minimálního požadovaného sklonu pro bezbariérovou komunikaci.
";neproveditelný
159;220;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: DOPRAVA A TECHNICKÁ INFASTRUKTURA, Řešení dopravy, ochrana centra před nadměrnou dopravou, parkování - Podpora všech druhů opatření k zajištění dopravní bezpečnosti (chodců, cyklistů) + KVALITA ŽIVOTA, Účinná politika města v sociální a zdravotní oblasti - Podpora projektů zabývajících se odstraňováním fyzických bariér;proveditelný
160;224;missing assessment of feasibility;missing assessment of feasibility;missing assessment of feasibility
161;226;missing assessment of feasibility;missing assessment of feasibility;missing assessment of feasibility
162;230;missing assessment of feasibility;missing assessment of feasibility;missing assessment of feasibility
163;233;Majetkový odbor;Majetek města;proveditelný
164;233;Odbor investiční;Odhad ceny reálný. Nutné doplnit provozní náklady.;proveditelný
165;233;Odbor územního plánování a rozvoje;"Dle ÚPmB se jedná o plochy komunikací a prostranství místního významu, které plní funkci veřejného prostranství.
";proveditelný
166;233;Odbor životního prostředí;"Městské části dle obecně závazné vyhlášky č. 20/2001, kterou se vydává Statut města Brna, čl. 22 odst.1 písm.e)  zajišťují správu ploch zeleně veřejné a omezeně přístupné na území městské části.
";proveditelný
167;233;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Zlepšení kvality veřejných prostranství a vybraných složek životního prostředí;proveditelný
168;233;MČ Brno-Žabovřesky;EMPTY;proveditelný
169;233;Odbor dopravy;EMPTY;proveditelný
170;239;Majetkový odbor;Jedná se o majetek města.;proveditelný
171;239;Odbor územního plánování a rozvoje;"Projekt by bylo možné realizovat v ploše městské zeleně, která musí zůstat veřejně přístupná.
";proveditelný s úpravami
172;239;Odbor investiční;"Nutné navýšit ceny některých položek zejména terénních úprav a zvýšených záhonů a úměrně tomu i cenu projektové dokumentace.
";proveditelný s úpravami
173;239;Odbor strategického rozvoje a spolupráce;Projekt je v souladu se Strategií pro Brno, a to v prioritě: KVALITA ŽIVOTA, Podpora nabídky volnočasových aktivit, rekreace a sportu;proveditelný
174;239;MČ Brno-Medlánky;EMPTY;proveditelný
175;245;missing assessment of feasibility;missing assessment of feasibility;missing assessment of feasibility
176;251;Majetkový odbor;Majetek města;proveditelný
